Source: Live Camera
Date & Time: 2026-09-04 13:31:34
==========================================================================================
Frame: 0285 | Processed: Yes  | TS(ms): 1788528650818 | Delta: 0000 | Plank: WAITING [Visibility Check Failed (MediaPipe Glitch)] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 73.7, Feat: 00.4, Predict: 00.0, States: 00.0
Frame: 0286 | Processed: Yes  | TS(ms): 1788528650897 | Delta: 0000 | Plank: WAITING [Visibility Check Failed (MediaPipe Glitch)] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 71.0, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0287 | Processed: Yes  | TS(ms): 1788528650973 | Delta: 0000 | Plank: WAITING [Visibility Check Failed (MediaPipe Glitch)] | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 66.1, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0288 | Processed: Yes  | TS(ms): 1788528651045 | Delta: 0000 | Plank: WAITING [Visibility Check Failed (MediaPipe Glitch)] | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 17.8, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0290 | Processed: Yes  | TS(ms): 1788528651107 | Delta: 0000 | Plank: WAITING [Visibility Check Failed (MediaPipe Glitch)] | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 14.1, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0291 | Processed: Yes  | TS(ms): 1788528651153 | Delta: 0000 | Plank: WAITING [Visibility Check Failed (MediaPipe Glitch)] | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 15.1, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0293 | Processed: Yes  | TS(ms): 1788528651216 | Delta: 0000 | Plank: WAITING [Visibility Check Failed (MediaPipe Glitch)] | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 15.1, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0295 | Processed: Yes  | TS(ms): 1788528651281 | Delta: 0000 | Plank: WAITING [Visibility Check Failed (MediaPipe Glitch)] | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 15.5, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0297 | Processed: Yes  | TS(ms): 1788528651346 | Delta: 0000 | Plank: WAITING [Visibility Check Failed (MediaPipe Glitch)] | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 13.9, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0299 | Processed: Yes  | TS(ms): 1788528651410 | Delta: 0000 | Plank: WAITING [Visibility Check Failed (MediaPipe Glitch)] | Phase: None            | Hip: None            | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 14.7, Feat: 00.0, Predict: 00.0, States: 00.0
Frame: 0301 | Processed: Yes  | TS(ms): 1788528651475 | Delta: 0000 | Plank: WAITING [Visibility Check Failed (MediaPipe Glitch)] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 96.4, Feat: 00.5, Predict: 00.0, States: 00.0
Frame: 0302 | Processed: Yes  | TS(ms): 1788528651577 | Delta: 0000 | Plank: WAITING [Visibility Check Failed (MediaPipe Glitch)] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 67.8, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0303 | Processed: Yes  | TS(ms): 1788528651651 | Delta: 0000 | Plank: WAITING [Visibility Check Failed (MediaPipe Glitch)] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 82.0, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0304 | Processed: Yes  | TS(ms): 1788528651738 | Delta: 0000 | Plank: WAITING [Visibility Check Failed (MediaPipe Glitch)] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 69.8, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0305 | Processed: Yes  | TS(ms): 1788528651812 | Delta: 0000 | Plank: WAITING [Visibility Check Failed (MediaPipe Glitch)] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 65.6, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0306 | Processed: Yes  | TS(ms): 1788528651882 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: False (dx:0.1, dy:1.0) | W_Low: False | A_Low: True | 9_O'Clock: True, shoulder_x: 0.412, ankle_x: 0.513] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 69.2, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0307 | Processed: Yes  | TS(ms): 1788528651956 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: False (dx:0.1, dy:1.0) | W_Low: False | A_Low: True | 9_O'Clock: True, shoulder_x: 0.415, ankle_x: 0.552] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 74.2, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0308 | Processed: Yes  | TS(ms): 1788528652035 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: False (dx:0.1, dy:1.0) | W_Low: False | A_Low: True | 9_O'Clock: True, shoulder_x: 0.417, ankle_x: 0.520] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 72.9, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0309 | Processed: Yes  | TS(ms): 1788528652115 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: False (dx:0.2, dy:1.1) | W_Low: False | A_Low: True | 9_O'Clock: True, shoulder_x: 0.410, ankle_x: 0.617] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 63.6, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0310 | Processed: Yes  | TS(ms): 1788528652183 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: False (dx:0.1, dy:1.0) | W_Low: False | A_Low: True | 9_O'Clock: True, shoulder_x: 0.405, ankle_x: 0.521] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 80.0, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0311 | Processed: Yes  | TS(ms): 1788528652268 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: False (dx:0.1, dy:1.0) | W_Low: False | A_Low: True | 9_O'Clock: True, shoulder_x: 0.403, ankle_x: 0.504] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 73.9, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0312 | Processed: Yes  | TS(ms): 1788528652346 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: False (dx:0.2, dy:1.1) | W_Low: False | A_Low: True | 9_O'Clock: True, shoulder_x: 0.385, ankle_x: 0.587] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 63.9, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0313 | Processed: Yes  | TS(ms): 1788528652415 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: False (dx:0.2, dy:1.1) | W_Low: False | A_Low: True | 9_O'Clock: True, shoulder_x: 0.382, ankle_x: 0.611] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 68.7, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0314 | Processed: Yes  | TS(ms): 1788528652488 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: False (dx:0.2, dy:1.0) | W_Low: False | A_Low: True | 9_O'Clock: True, shoulder_x: 0.376, ankle_x: 0.569] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 66.4, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0315 | Processed: Yes  | TS(ms): 1788528652559 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: False (dx:0.2, dy:0.9) | W_Low: False | A_Low: True | 9_O'Clock: True, shoulder_x: 0.375, ankle_x: 0.585] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 66.4, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0316 | Processed: Yes  | TS(ms): 1788528652631 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: False (dx:0.2, dy:0.9) | W_Low: True | A_Low: True | 9_O'Clock: True, shoulder_x: 0.376, ankle_x: 0.605] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 67.5, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0317 | Processed: Yes  | TS(ms): 1788528652704 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: False (dx:0.2, dy:0.8) | W_Low: True | A_Low: True | 9_O'Clock: True, shoulder_x: 0.384, ankle_x: 0.600] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 61.3, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0318 | Processed: Yes  | TS(ms): 1788528652770 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: False (dx:0.2, dy:0.9) | W_Low: True | A_Low: True | 9_O'Clock: True, shoulder_x: 0.391, ankle_x: 0.606] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 82.0, Feat: 00.3, Predict: 00.0, States: 00.0
