Source: Offline Video - Push up variations ✅ - Oliver Sjostrom (1080p).mp4
Date & Time: 2026-07-16 07:27:52
==========================================================================================
Frame: 0001 | Processed: Yes  | TS(ms): 1784186792713 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 92.7, Feat: 00.4, Predict: 02.7, States: 00.0
Frame: 0002 | Processed: Yes  | TS(ms): 1784186792753 | Delta: 0000 | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good       | Times(ms) -> MP: 50.2, Feat: 00.2, Predict: 02.9, States: 00.0
Frame: 0003 | Processed: Yes  | TS(ms): 1784186792793 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 49.4, Feat: 00.2, Predict: 02.6, States: 00.0
Frame: 0004 | Processed: Yes  | TS(ms): 1784186792833 | Delta: 0000 | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 52.8, Feat: 00.2, Predict: 03.0, States: 00.0
Frame: 0005 | Processed: Yes  | TS(ms): 1784186792873 | Delta: 0000 | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 46.8, Feat: 00.2, Predict: 02.3, States: 00.0
Frame: 0006 | Processed: Yes  | TS(ms): 1784186792913 | Delta: 0000 | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 47.1, Feat: 00.4, Predict: 02.4, States: 00.0
Frame: 0007 | Processed: Yes  | TS(ms): 1784186792953 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 53.9, Feat: 00.2, Predict: 02.6, States: 00.0
Frame: 0008 | Processed: Yes  | TS(ms): 1784186792993 | Delta: 0000 | Phase: Medium          | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 50.6, Feat: 00.2, Predict: 02.3, States: 00.0
Frame: 0009 | Processed: Yes  | TS(ms): 1784186793033 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 45.6, Feat: 00.2, Predict: 02.3, States: 00.0
Frame: 0010 | Processed: Yes  | TS(ms): 1784186793073 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 51.5, Feat: 00.2, Predict: 02.6, States: 00.0
Frame: 0011 | Processed: Yes  | TS(ms): 1784186793113 | Delta: 0000 | Phase: Low             | Hip: Good            | Reps: 00 | RepState: idle            | HipStatus: Good Form  | Times(ms) -> MP: 48.6, Feat: 00.2, Predict: 02.5, States: 00.0
