Source: Offline Video - WhatsApp Video 2026-06-07 at 13.30.58.mp4
Date & Time: 2026-07-21 09:05:39
==========================================================================================
Frame: 0002 | Processed: Yes  | TS(ms): 1784624689726 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.2, dy:0.1) | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 69.1, Feat: 00.4, Predict: 00.0, States: 00.0
Frame: 0004 | Processed: Yes  | TS(ms): 1784624689792 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.2, dy:0.2) | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 71.7, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0006 | Processed: Yes  | TS(ms): 1784624689858 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.2, dy:0.2) | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 69.5, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0008 | Processed: Yes  | TS(ms): 1784624689924 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.2, dy:0.2) | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 71.0, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0010 | Processed: Yes  | TS(ms): 1784624689990 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.2, dy:0.2) | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 86.6, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0012 | Processed: Yes  | TS(ms): 1784624690056 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.3, dy:0.2) | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 79.5, Feat: 00.5, Predict: 00.0, States: 00.0
Frame: 0014 | Processed: Yes  | TS(ms): 1784624690122 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.3, dy:0.2) | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 68.7, Feat: 00.3, Predict: 00.0, States: 00.0
Frame: 0016 | Processed: Yes  | TS(ms): 1784624690188 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.3, dy:0.2) | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 69.9, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0018 | Processed: Yes  | TS(ms): 1784624690254 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.3, dy:0.2) | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 71.8, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0020 | Processed: Yes  | TS(ms): 1784624690320 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.3, dy:0.2) | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 66.9, Feat: 00.2, Predict: 00.0, States: 00.0
Frame: 0022 | Processed: Yes  | TS(ms): 1784624690386 | Delta: 0000 | Plank: WAITING [Vis: True | Horiz: True (dx:0.3, dy:0.2) | W_Low: True | A_Low: True] | Phase: N/A             | Hip: N/A             | Reps: 00 | RepState: idle            | HipStatus: Waiting... | Times(ms) -> MP: 70.3, Feat: 00.2, Predict: 00.0, States: 00.0
